Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","13,946.60","13,966.85","13,596.75","13,634.60","-182.95","-1.32","7,532.07","46,917.94","14,753.55","7,511.10","12.41","-2.14"
"INDUSINDBK","817.10","860.85","815.65","851.90","49.30","6.14","193.06","1,623.95","1,346.05","235.55","-32.29","-6.68"
"SUNPHARMA","568.00","600.00","554.10","588.40","24.05","4.26","225.40","1,306.37","628.00","312.00","30.73","-0.37"
"ICICIBANK","533.35","544.95","529.45","538.95","10.70","2.03","331.73","1,778.66","561.00","268.30","2.35","1.92"
"HDFCBANK","1,391.35","1,408.75","1,364.50","1,391.00","19.55","1.43","143.52","1,992.38","1,511.65","738.75","12.55","-2.54"
"HDFCLIFE","673.65","684.95","668.15","679.80","8.00","1.19","45.98","311.29","731.00","340.00","12.35","0.98"
"IOC","93.80","96.30","92.80","93.30","0.70","0.76","741.95","699.29","119.95","71.15","-21.13","2.30"
"BPCL","389.90","396.55","381.35","385.75","1.45","0.38","82.59","321.54","510.00","252.00","-19.48","1.11"
"SBIN","285.60","290.65","279.10","281.75","-0.60","-0.21","423.01","1,199.11","331.90","149.45","-10.97","1.39"
"GRASIM","1,062.60","1,094.00","1,048.45","1,062.00","-5.40","-0.51","38.22","410.20","1,114.65","385.05","32.37","16.77"
"LT","1,362.00","1,369.00","1,325.10","1,338.00","-7.35","-0.55","51.31","687.53","1,396.40","661.00","-2.03","4.14"
"UPL","569.85","576.00","557.00","562.30","-3.15","-0.56","92.99","526.43","601.40","240.15","3.72","23.66"
"AXISBANK","671.00","675.85","653.00","666.45","-4.25","-0.63","312.73","2,073.70","760.70","286.00","-9.36","5.75"
"KOTAKBANK","1,749.85","1,749.85","1,704.00","1,710.55","-12.30","-0.71","51.41","886.05","2,027.00","1,001.00","4.27","-14.44"
"SBILIFE","876.55","883.05","858.05","865.00","-7.55","-0.87","22.86","199.47","1,017.00","519.40","-14.17","-3.81"
"ASIANPAINT","2,456.00","2,484.00","2,400.00","2,412.50","-29.20","-1.20","27.69","675.71","2,873.45","1,431.20","34.26","-10.54"
